,Compound no.,SMILES,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio
33,34,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CC4=CC=CC=C4)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
34,35,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3S(C)(=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
35,36,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3S(C4=CC=CC=C4)(=O)=O)=O)=O)C=CC=C2)C(N(C)C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
36,37,O=C1N[C@@H](C(N(C)C)=O)CSCC2=C(C=CC=C2)C(OC[C@H]1NC([C@@H]3CCCN3S(CC4=CC=CC=C4)(=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
37,38,OC(CCC(N1CCC[C@H]1C(N[C@@H]2CNC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O)=O,12,2,0,2,C1=CCSCCNCCCNC1,CC1CSCc2ccccc2C(=O)NCCC(=O)N1,0.5,0.5
38,39,O=C(NC)CCC(N1CCC[C@H]1C(N[C@@H]2CNC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O,12,2,0,2,C1=CCSCCNCCCNC1,CC1CSCc2ccccc2C(=O)NCCC(=O)N1,0.5,0.5
39,40,O=C(NC)/C=C/C(N1CCC[C@H]1C(N[C@@H]2CNC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O,12,2,0,2,C1=CCSCCNCCCNC1,CC1CSCc2ccccc2C(=O)NCCC(=O)N1,0.5,0.5
40,41,N#CC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=CC=CC=C4CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)SC=C1,12,1,0,1,C1CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
41,42,O=C(N(C)C)[C@H](NC1=O)CSCC2=CC=CC=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=NOC=C4)=O)=O)=O,12,1,0,1,C1CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
42,43,O=C(NC(N1CCC[C@H]1C(N[C@@H]2COC(C3=CC=CC=C3CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O)C4=CC=CC=C4,12,1,0,1,C1CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
