ID,Endpoint,Assay,Value,Unit,Standardized_Value,Peptidic_Type,Source
MC-0312,Log Pe,PAMPA,-6.398,,-6.398,Non,10.1021/acs.jmedchem.1c02090
MC-0313,Log Pe,PAMPA,-5.081,,-5.081,Non,10.1021/acs.jmedchem.1c02090
MC-0314,Log Pe,PAMPA,-5.466,,-5.466,Non,10.1021/acs.jmedchem.1c02090
MC-0315,Log Pe,PAMPA,-5.815,,-5.815,Non,10.1021/acs.jmedchem.1c02090
MC-0316,Log Pe,PAMPA,-5.323,,-5.323,Non,10.1021/acs.jmedchem.1c02090
MC-0317,Log Pe,PAMPA,-5.733,,-5.733,Non,10.1021/acs.jmedchem.1c02090
MC-0318,Log Pe,PAMPA,-6.131,,-6.131,Non,10.1021/acs.jmedchem.1c02090
MC-0319,Log Pe,PAMPA,-6.377,,-6.377,Non,10.1021/acs.jmedchem.1c02090
MC-0320,Log Pe,PAMPA,-6.824,,-6.824,Non,10.1021/acs.jmedchem.1c02090
MC-0321,Log Pe,PAMPA,-6.62,,-6.62,Non,10.1021/acs.jmedchem.1c02090
MC-0322,Log Pe,PAMPA,-5.975,,-5.975,Non,10.1021/acs.jmedchem.1c02090
MC-0323,Log Pe,PAMPA,-5.559,,-5.559,Non,10.1021/acs.jmedchem.1c02090
MC-0324,Log Pe,PAMPA,-7.398,,-7.398,Semi,10.1021/acs.jmedchem.1c02090
MC-0325,Log Pe,PAMPA,-6.538,,-6.538,Non,10.1021/acs.jmedchem.1c02090
MC-0326,Log Pe,PAMPA,-6.854,,-6.854,Semi,10.1021/acs.jmedchem.1c02090
MC-0327,Log Pe,PAMPA,-6.387,,-6.387,Non,10.1021/acs.jmedchem.1c02090
MC-0328,Log Pe,PAMPA,-6.161,,-6.161,Non,10.1021/acs.jmedchem.1c02090
MC-0329,Log Pe,PAMPA,-6.092,,-6.092,Non,10.1021/acs.jmedchem.1c02090
MC-0330,Log Pe,PAMPA,-7.301,,-7.301,Non,10.1021/acs.jmedchem.1c02090
MC-0331,Log Pe,PAMPA,-6.553,,-6.553,Non,10.1021/acs.jmedchem.1c02090
MC-0332,Log Pe,PAMPA,-6.553,,-6.553,Non,10.1021/acs.jmedchem.1c02090
MC-0333,Log Pe,PAMPA,-7.097,,-7.097,Semi,10.1021/acs.jmedchem.1c02090
MC-0334,Log Pe,PAMPA,-7.222,,-7.222,Non,10.1021/acs.jmedchem.1c02090
MC-0334,Log Pe,PAMPA,-6.469,,-6.469,Non,10.1021/acs.jmedchem.1c02090
MC-0335,Log Pe,PAMPA,-5.33,,-5.33,Non,10.1021/acs.jmedchem.1c02090
MC-0336,Log Pe,PAMPA,-7.398,,-7.398,Semi,10.1021/acs.jmedchem.1c02090
MC-0337,Log Pe,PAMPA,-5.223,,-5.223,Non,10.1021/acs.jmedchem.1c02090
MC-0338,Log Pe,PAMPA,-5.492,,-5.492,Non,10.1021/acs.jmedchem.1c02090
MC-0339,Log Pe,PAMPA,-5.839,,-5.839,Non,10.1021/acs.jmedchem.1c02090
MC-0340,Log Pe,PAMPA,-5.762,,-5.762,Non,10.1021/acs.jmedchem.1c02090
MC-0341,Log Pe,PAMPA,-6.553,,-6.553,Semi,10.1021/acs.jmedchem.1c02090
MC-0342,Log Pe,PAMPA,-5.66,,-5.66,Non,10.1021/acs.jmedchem.1c02090
MC-0343,Log Pe,PAMPA,-6.292,,-6.292,Non,10.1021/acs.jmedchem.1c02090
MC-0344,Log Pe,PAMPA,-7.097,,-7.097,Non,10.1021/acs.jmedchem.1c02090
MC-0345,Log Pe,PAMPA,-6.102,,-6.102,Non,10.1021/acs.jmedchem.1c02090
MC-0346,Log Pe,PAMPA,-5.357,,-5.357,Non,10.1021/acs.jmedchem.1c02090
MC-0347,Log Pe,PAMPA,-5.967,,-5.967,Non,10.1021/acs.jmedchem.1c02090
MC-0348,Log Pe,PAMPA,-4.952,,-4.952,Non,10.1021/acs.jmedchem.1c02090
MC-0349,Log Pe,PAMPA,-5.369,,-5.369,Non,10.1021/acs.jmedchem.1c02090
MC-0350,Log Pe,PAMPA,-6.585,,-6.585,Non,10.1021/acs.jmedchem.1c02090
MC-0351,Log Pe,PAMPA,-5.921,,-5.921,Non,10.1021/acs.jmedchem.1c02090
MC-0352,Log Pe,PAMPA,-5.69,,-5.69,Non,10.1021/acs.jmedchem.1c02090
MC-0353,Log Pe,PAMPA,-6.886,,-6.886,Semi,10.1021/acs.jmedchem.1c02090
MC-0354,Log Pe,PAMPA,-5.558,,-5.558,Non,10.1021/acs.jmedchem.1c02090
MC-0355,Log Pe,PAMPA,-6.357,,-6.357,Non,10.1021/acs.jmedchem.1c02090
MC-0355,Log Pe,PAMPA,-6.071,,-6.071,Non,10.1021/acs.jmedchem.1c02090
MC-0356,Log Pe,PAMPA,-6.495,,-6.495,Non,10.1021/acs.jmedchem.1c02090
MC-0357,Log Pe,PAMPA,-5.457,,-5.457,Non,10.1021/acs.jmedchem.1c02090
MC-0358,Log Pe,PAMPA,-5.465,,-5.465,Non,10.1021/acs.jmedchem.1c02090
MC-0359,Log Pe,PAMPA,-6.509,,-6.509,Non,10.1021/acs.jmedchem.1c02090
MC-0360,Log Pe,PAMPA,-5.775,,-5.775,Non,10.1021/acs.jmedchem.1c02090
MC-0361,Log Pe,PAMPA,-5.221,,-5.221,Non,10.1021/acs.jmedchem.1c02090
MC-0362,Log Pe,PAMPA,-5.337,,-5.337,Non,10.1021/acs.jmedchem.1c02090
