ID,Macrocycle_Free_Amide_Ratio,Peptidic_Type
MC-1176,0.154,Non
MC-1177,0.154,Non
MC-1178,0.267,Non
MC-1179,0.143,Non
MC-1180,0,Non
MC-1181,0,Non
MC-1182,0.167,Non
MC-1183,0.267,Non
MC-1184,0,Non
MC-1185,0,Non
MC-1186,0,Non
MC-1187,0.286,Non
MC-1188,0,Non
MC-1189,0,Non
MC-1190,0.286,Non
MC-1191,0.267,Non
MC-1192,0,Non
MC-1193,0.154,Non
MC-1194,0.167,Non
MC-1195,0.167,Non
MC-1196,0.267,Non
MC-1197,0.154,Non
MC-1198,0,Non
MC-1199,0,Non
MC-1200,0.267,Non
MC-1201,0,Non
MC-1202,0,Non
MC-1203,0.154,Non
MC-1204,0,Non
MC-1205,0.267,Non
MC-1206,0,Non
MC-1207,0.286,Non
MC-1208,0,Non
MC-1209,0.286,Non
MC-1210,0,Non
MC-1211,0.133,Non
MC-1212,0,Non
MC-1213,0.286,Non
MC-1214,0.154,Non
MC-1215,0.286,Non
MC-1216,0,Non
MC-1217,0.429,Semi
MC-1218,0.286,Non
MC-1219,0.167,Non
MC-1220,0.167,Non
MC-1221,0,Non
MC-1222,0.143,Non
MC-1223,0.167,Non
MC-1224,0,Non
MC-1225,0.154,Non
MC-1226,0.4,Semi
MC-1227,0.154,Non
MC-1228,0,Non
MC-1229,0.167,Non
MC-1230,0,Non
MC-1231,0,Non
MC-1232,0.167,Non
MC-1233,0,Non
MC-1234,0.154,Non
MC-1235,0.167,Non
MC-1236,0,Non
MC-1237,0,Non
MC-1238,0.4,Semi
MC-1239,0.154,Non
MC-1240,0,Non
MC-1241,0.154,Non
MC-1242,0.167,Non
MC-1243,0.286,Non
MC-1244,0.154,Non
MC-1245,0,Non
MC-1246,0,Non
MC-1247,0,Non
MC-1248,0,Non
MC-1249,0.167,Non
MC-1250,0,Non
MC-1251,0.154,Non
MC-1252,0,Non
MC-1253,0.154,Non
MC-1254,0.286,Non
MC-1255,0,Non
MC-1256,0.267,Non
MC-1257,0,Non
MC-1258,0.286,Non
MC-1259,0.154,Non
MC-1260,0.167,Non
MC-1261,0,Non
MC-1262,0.286,Non
MC-1263,0,Non
MC-1264,0.267,Non
MC-1265,0.167,Non
MC-1266,0.167,Non
MC-1267,0,Non
MC-1268,0,Non
MC-1269,0,Non
MC-1270,0,Non
MC-1271,0.4,Semi
MC-1272,0.267,Non
MC-1273,0.267,Non
MC-1274,0.4,Semi
MC-1275,0.286,Non
MC-1276,0,Non
MC-1277,0.167,Non
MC-1278,0.286,Non
MC-1279,0,Non
MC-1280,0,Non
MC-1281,0.167,Non
MC-1282,0.167,Non
MC-1283,0.429,Semi
MC-1284,0,Non
MC-1285,0.133,Non
MC-1286,0.286,Non
MC-1287,0.267,Non
MC-1288,0,Non
MC-1289,0.267,Non
MC-1290,0.154,Non
MC-1291,0.167,Non
MC-1292,0,Non
MC-1293,0.429,Semi
MC-1294,0,Non
MC-1295,0.267,Non
MC-1296,0,Non
MC-1297,0,Non
MC-1298,0.286,Non
MC-1299,0,Non
MC-1300,0,Non
MC-1301,0,Non
MC-1302,0.25,Non
MC-1303,0.154,Non
MC-1304,0.286,Non
MC-1305,0,Non
MC-1306,0,Non
MC-1307,0.286,Non
MC-1308,0.286,Non
MC-1309,0.154,Non
MC-1310,0.286,Non
MC-1311,0,Non
MC-1312,0,Non
MC-1313,0.286,Non
MC-1314,0,Non
MC-1315,0.286,Non
MC-1316,0.154,Non
MC-1317,0.286,Non
MC-1318,0.167,Non
MC-1319,0.267,Non
MC-1320,0.154,Non
MC-1321,0.143,Non
MC-1322,0,Non
MC-1323,0,Non
MC-1324,0,Non
MC-1325,0.133,Non
MC-1326,0,Non
MC-1327,0,Non
MC-1328,0,Non
MC-1329,0.4,Semi
MC-1330,0.154,Non
MC-1331,0.4,Semi
MC-1332,0.133,Non
MC-1333,0.154,Non
MC-1334,0,Non
MC-1335,0,Non
MC-1336,0.154,Non
MC-1337,0,Non
MC-1338,0,Non
MC-1339,0,Non
MC-1340,0.267,Non
MC-1341,0.267,Non
MC-1342,0.267,Non
MC-1343,0.133,Non
MC-1344,0,Non
MC-1345,0,Non
MC-1346,0.143,Non
MC-1347,0.4,Semi
MC-1348,0.167,Non
MC-1349,0.286,Non
MC-1350,0.143,Non
MC-1351,0.154,Non
MC-1352,0.267,Non
MC-1353,0,Non
MC-1354,0.267,Non
MC-1355,0.143,Non
MC-1356,0,Non
MC-1357,0.25,Non
MC-1358,0,Non
MC-1359,0.267,Non
MC-1360,0,Non
MC-1361,0.286,Non
MC-1362,0,Non
MC-1363,0.286,Non
MC-1364,0.154,Non
MC-1365,0.167,Non
MC-1366,0.154,Non
MC-1367,0,Non
MC-1368,0.143,Non
MC-1369,0,Non
MC-1370,0,Non
MC-1371,0.286,Non
MC-1372,0,Non
MC-1373,0.154,Non
MC-1374,0.143,Non
MC-1375,0.133,Non
MC-1376,0.429,Semi
MC-1377,0.308,Semi
MC-1378,0.286,Non
MC-1379,0.154,Non
MC-1380,0.133,Non
MC-1381,0.286,Non
MC-1382,0.267,Non
MC-1383,0.267,Non
MC-1384,0.154,Non
MC-1385,0.167,Non
MC-1386,0.286,Non
MC-1387,0.154,Non
MC-1388,0.154,Non
MC-1389,0.154,Non
MC-1390,0,Non
MC-1391,0,Non
MC-1392,0,Non
MC-1393,0,Non
MC-1394,0,Non
MC-1395,0.4,Semi
MC-1396,0.133,Non
MC-1397,0,Non
MC-1398,0.286,Non
MC-1399,0.286,Non
MC-1400,0,Non
MC-1401,0.143,Non
MC-1402,0,Non
MC-1403,0,Non
MC-1404,0.333,Semi
MC-1405,0,Non
MC-1406,0.154,Non
MC-1407,0.267,Non
MC-1408,0.267,Non
MC-1409,0,Non
MC-1410,0,Non
MC-1411,0.429,Semi
MC-1412,0.286,Non
MC-1413,0.143,Non
MC-1414,0,Non
MC-1415,0.267,Non
MC-1416,0.154,Non
MC-1417,0,Non
MC-1418,0.167,Non
MC-1419,0,Non
MC-1420,0.167,Non
MC-1421,0,Non
MC-1422,0.154,Non
MC-1423,0.429,Semi
MC-1424,0.286,Non
MC-1425,0,Non
MC-1426,0,Non
MC-1427,0,Non
MC-1428,0.286,Non
MC-1429,0.375,Semi
MC-1430,0,Non
MC-1431,0,Non
MC-1432,0.167,Non
MC-1433,0.154,Non
MC-1434,0,Non
MC-1435,0,Non
MC-1436,0,Non
MC-1437,0.286,Non
MC-1438,0,Non
MC-1439,0.267,Non
MC-1440,0,Non
MC-1441,0,Non
MC-1442,0.267,Non
MC-1443,0,Non
MC-1444,0.154,Non
MC-1445,0.167,Non
MC-1446,0,Non
MC-1447,0.154,Non
MC-1448,0.167,Non
MC-1449,0.267,Non
MC-1450,0.154,Non
MC-1451,0.429,Semi
MC-1452,0.154,Non
MC-1453,0.154,Non
MC-1454,0.154,Non
MC-1455,0,Non
MC-1456,0,Non
MC-1457,0.286,Non
MC-1458,0.429,Semi
MC-1459,0.154,Non
MC-1460,0.4,Semi
MC-1461,0,Non
MC-1462,0.4,Semi
MC-1463,0.154,Non
MC-1464,0,Non
MC-1465,0.167,Non
MC-1466,0.167,Non
MC-1467,0.167,Non
MC-1468,0.133,Non
MC-1469,0,Non
MC-1470,0.133,Non
MC-1471,0,Non
MC-1472,0,Non
MC-1473,0,Non
MC-1474,0,Non
MC-1475,0.167,Non
MC-1476,0.286,Non
MC-1477,0.261,Non
MC-1478,0.133,Non
MC-1479,0,Non
MC-1480,0,Non
MC-1481,0.167,Non
MC-1482,0,Non
MC-1483,0,Non
MC-1484,0.154,Non
MC-1485,0.167,Non
MC-1486,0,Non
MC-1487,0.267,Non
MC-1488,0.267,Non
MC-1489,0.154,Non
MC-1490,0,Non
MC-1491,0.308,Semi
MC-1492,0.267,Non
MC-1493,0,Non
MC-1494,0,Non
MC-1495,0,Non
MC-1496,0.286,Non
MC-1497,0,Non
MC-1498,0,Non
MC-1499,0.286,Non
MC-1500,0.167,Non
MC-1501,0.286,Non
MC-1502,0,Non
MC-1503,0.154,Non
MC-1504,0.154,Non
MC-1505,0,Non
MC-1506,0.286,Non
MC-1507,0,Non
MC-1508,0.118,Non
MC-1509,0,Non
MC-1510,0.267,Non
MC-1511,0,Non
MC-1512,0,Non
MC-1513,0.167,Non
MC-1514,0,Non
MC-1515,0.167,Non
MC-1516,0.154,Non
MC-1517,0.143,Non
MC-1518,0.286,Non
MC-1519,0.154,Non
MC-1520,0,Non
MC-1521,0,Non
MC-1522,0.267,Non
MC-1523,0.154,Non
MC-1524,0.267,Non
MC-1525,0.154,Non
MC-1526,0.154,Non
MC-1527,0.267,Non
MC-1528,0,Non
MC-1529,0,Non
MC-1530,0.154,Non
MC-1531,0.286,Non
MC-1532,0.267,Non
MC-1533,0.167,Non
MC-1534,0.4,Semi
MC-1535,0.167,Non
MC-1536,0,Non
MC-1537,0,Non
MC-1538,0,Non
MC-1539,0,Non
MC-1540,0.154,Non
MC-1541,0.167,Non
MC-1542,0,Non
MC-1543,0,Non
MC-1544,0,Non
MC-1545,0.286,Non
MC-1546,0,Non
MC-1547,0,Non
MC-1548,0,Non
MC-1549,0.267,Non
MC-1550,0,Non
MC-1551,0.167,Non
MC-1552,0,Non
MC-1553,0,Non
MC-1554,0.167,Non
MC-1555,0.286,Non
MC-1556,0,Non
MC-1557,0.429,Semi
MC-1558,0.267,Non
MC-1559,0,Non
MC-1560,0,Non
MC-1561,0,Non
MC-1562,0.429,Semi
MC-1563,0.267,Non
MC-1564,0,Non
MC-1565,0,Non
MC-1566,0,Non
MC-1567,0.267,Non
MC-1568,0.286,Non
MC-1569,0.2,Non
MC-1570,0.167,Non
MC-1571,0,Non
MC-1572,0.154,Non
MC-1573,0.286,Non
MC-1574,0,Non
MC-1575,0.133,Non
MC-1576,0,Non
MC-1577,0.167,Non
MC-1578,0,Non
MC-1579,0.286,Non
MC-1580,0.167,Non
MC-1581,0,Non
MC-1582,0,Non
MC-1583,0,Non
MC-1584,0.5,Semi
MC-1585,0.4,Semi
MC-1586,0.267,Non
MC-1587,0,Non
MC-1588,0.267,Non
MC-1589,0.286,Non
MC-1590,0,Non
MC-1591,0.286,Non
MC-1592,0,Non
MC-1593,0,Non
MC-1594,0.154,Non
MC-1595,0.267,Non
MC-1596,0.444,Semi
MC-1597,0,Non
MC-1598,0,Non
MC-1599,0,Non
MC-1600,0,Non
MC-1601,0.154,Non
MC-1602,0.143,Non
MC-1603,0.286,Non
MC-1604,0.167,Non
MC-1605,0.154,Non
MC-1606,0,Non
MC-1607,0,Non
MC-1608,0.133,Non
MC-1609,0,Non
MC-1610,0,Non
MC-1611,0.286,Non
MC-1612,0,Non
MC-1613,0.167,Non
MC-1614,0.444,Semi
MC-1615,0.286,Non
MC-1616,0,Non
MC-1617,0,Non
MC-1618,0.167,Non
MC-1619,0,Non
MC-1620,0.286,Non
MC-1621,0,Non
MC-1622,0.286,Non
MC-1623,0,Non
MC-1624,0,Non
MC-1625,0,Non
MC-1626,0.267,Non
MC-1627,0.154,Non
MC-1628,0.154,Non
MC-1629,0.167,Non
MC-1630,0.133,Non
MC-1631,0,Non
MC-1632,0,Non
MC-1633,0,Non
MC-1634,0.143,Non
MC-1635,0.1,Non
MC-1636,0.143,Non
MC-1637,0.133,Non
MC-1638,0.267,Non
MC-1639,0,Non
MC-1640,0,Non
MC-1641,0.143,Non
MC-1642,0.167,Non
MC-1643,0.4,Semi
MC-1644,0.267,Non
MC-1645,0.429,Semi
MC-1646,0.353,Semi
MC-1647,0.154,Non
MC-1648,0,Non
MC-1649,0.143,Non
MC-1650,0,Non
MC-1651,0.286,Non
MC-1652,0.333,Semi
MC-1653,0,Non
MC-1654,0.154,Non
MC-1655,0,Non
MC-1656,0,Non
MC-1657,0.4,Semi
MC-1658,0.167,Non
MC-1659,0.154,Non
MC-1660,0.133,Non
MC-1661,0,Non
MC-1662,0.1,Non
MC-1663,0,Non
MC-1664,0.167,Non
MC-1665,0,Non
MC-1666,0.167,Non
MC-1667,0.286,Non
MC-1668,0.167,Non
MC-1669,0,Non
MC-1670,0.154,Non
MC-1671,0,Non
MC-1672,0,Non
MC-1673,0.133,Non
MC-1674,0.154,Non
MC-1675,0.167,Non
MC-1676,0,Non
MC-1677,0,Non
MC-1678,0.154,Non
MC-1679,0,Non
MC-1680,0.167,Non
MC-1681,0.154,Non
MC-1682,0.267,Non
MC-1683,0,Non
MC-1684,0.3,Semi
MC-1685,0,Non
MC-1686,0.143,Non
MC-1687,0,Non
MC-1688,0,Non
MC-1689,0,Non
MC-1690,0.133,Non
MC-1691,0,Non
MC-1692,0.133,Non
MC-1693,0.133,Non
MC-1694,0.167,Non
MC-1695,0,Non
MC-1696,0.286,Non
MC-1697,0,Non
MC-1698,0,Non
MC-1699,0.167,Non
MC-1700,0.4,Semi
MC-1701,0,Non
MC-1702,0.133,Non
MC-1703,0,Non
MC-1704,0.4,Semi
MC-1705,0,Non
MC-1706,0.167,Non
MC-1707,0,Non
MC-1708,0.4,Semi
MC-1709,0.4,Semi
MC-1710,0,Non
MC-1711,0,Non
MC-1712,0.429,Semi
MC-1713,0,Non
MC-1714,0,Non
MC-1715,0.286,Non
MC-1716,0,Non
MC-1717,0.286,Non
MC-1718,0.286,Non
MC-1719,0,Non
MC-1720,0,Non
MC-1721,0,Non
MC-1722,0.286,Non
MC-1723,0,Non
MC-1724,0.286,Non
MC-1725,0.267,Non
MC-1726,0.133,Non
MC-1727,0,Non
MC-1728,0,Non
MC-1729,0,Non
MC-1730,0.154,Non
MC-1731,0,Non
MC-1732,0.267,Non
MC-1733,0,Non
MC-1734,0.143,Non
MC-1735,0,Non
MC-1736,0,Non
MC-1737,0.267,Non
MC-1738,0,Non
MC-1739,0,Non
MC-1740,0.154,Non
MC-1741,0,Non
MC-1742,0.167,Non
MC-1743,0,Non
MC-1744,0,Non
MC-1745,0.286,Non
MC-1746,0.154,Non
MC-1747,0,Non
MC-1748,0.4,Semi
MC-1749,0.267,Non
MC-1750,0,Non
MC-1751,0,Non
MC-1752,0.154,Non
MC-1753,0.267,Non
MC-1754,0,Non
MC-1755,0,Non
MC-1756,0.167,Non
MC-1757,0.286,Non
MC-1758,0.154,Non
MC-1759,0.429,Semi
MC-1760,0,Non
MC-1761,0,Non
MC-1762,0.154,Non
MC-1763,0.133,Non
MC-1764,0.133,Non
MC-1765,0.167,Non
MC-1766,0.267,Non
MC-1767,0,Non
MC-1768,0.4,Semi
MC-1769,0,Non
MC-1770,0,Non
MC-1771,0,Non
MC-1772,0,Non
MC-1773,0,Non
MC-1774,0.267,Non
MC-1775,0.286,Non
MC-1776,0,Non
MC-1777,0,Non
MC-1778,0,Non
MC-1779,0.267,Non
MC-1780,0.143,Non
MC-1781,0.267,Non
MC-1782,0.154,Non
MC-1783,0.267,Non
MC-1784,0,Non
MC-1785,0.167,Non
MC-1786,0.333,Semi
MC-1787,0,Non
MC-1788,0.286,Non
MC-1789,0,Non
MC-1790,0,Non
MC-1791,0,Non
MC-1792,0.133,Non
MC-1793,0.154,Non
MC-1794,0.267,Non
MC-1795,0.167,Non
MC-1796,0.133,Non
MC-1797,0,Non
MC-1798,0.154,Non
MC-1799,0.267,Non
MC-1800,0,Non
MC-1801,0,Non
MC-1802,0.4,Semi
MC-1803,0.267,Non
MC-1804,0,Non
MC-1805,0,Non
MC-1806,0.167,Non
MC-1807,0.286,Non
MC-1808,0,Non
MC-1809,0,Non
MC-1810,0,Non
MC-1811,0.154,Non
MC-1812,0,Non
MC-1813,0.133,Non
MC-1814,0.154,Non
MC-1815,0,Non
MC-1816,0.471,Semi
MC-1817,0.286,Non
MC-1818,0.133,Non
MC-1819,0.267,Non
MC-1820,0,Non
MC-1821,0,Non
MC-1822,0.429,Semi
MC-1823,0.267,Non
MC-1824,0,Non
MC-1825,0,Non
MC-1826,0,Non
MC-1827,0.444,Semi
MC-1828,0,Non
MC-1829,0.286,Non
MC-1830,0,Non
MC-1831,0,Non
MC-1832,0.429,Semi
MC-1833,0.167,Non
MC-1834,0.286,Non
MC-1835,0.267,Non
MC-1836,0,Non
MC-1837,0,Non
MC-1838,0.333,Semi
MC-1839,0,Non
MC-1840,0.333,Semi
MC-1841,0,Non
MC-1842,0.154,Non
MC-1843,0.267,Non
MC-1844,0,Non
MC-1845,0,Non
MC-1846,0.133,Non
MC-1847,0,Non
MC-1848,0,Non
MC-1849,0,Non
MC-1850,0.154,Non
MC-1851,0,Non
MC-1852,0,Non
MC-1853,0.154,Non
MC-1854,0,Non
MC-1855,0,Non
MC-1856,0.267,Non
MC-1857,0.154,Non
MC-1858,0,Non
MC-1859,0,Non
MC-1860,0,Non
MC-1861,0,Non
MC-1862,0,Non
MC-1863,0.154,Non
MC-1864,0.154,Non
MC-1865,0,Non
MC-1866,0.167,Non
MC-1867,0,Non
MC-1868,0,Non
MC-1869,0.167,Non
MC-1870,0,Non
MC-1871,0,Non
MC-1872,0.133,Non
MC-1873,0,Non
MC-1874,0,Non
MC-1875,0.286,Non
MC-1876,0.133,Non
MC-1877,0,Non
MC-1878,0.143,Non
MC-1879,0.167,Non
MC-1880,0,Non
MC-1881,0.267,Non
MC-1882,0.167,Non
MC-1883,0,Non
MC-1884,0,Non
MC-1885,0,Non
MC-1886,0,Non
MC-1887,0.167,Non
MC-1888,0.267,Non
MC-1889,0,Non
MC-1890,0.267,Non
MC-1891,0.286,Non
MC-1892,0,Non
MC-1893,0,Non
MC-1894,0,Non
MC-1895,0.429,Semi
MC-1896,0.154,Non
MC-1897,0,Non
MC-1898,0,Non
MC-1899,0.286,Non
MC-1900,0.154,Non
MC-1901,0.167,Non
MC-1902,0,Non
MC-1903,0.133,Non
MC-1904,0,Non
MC-1905,0,Non
MC-1906,0.167,Non
MC-1907,0,Non
MC-1908,0.154,Non
MC-1909,0,Non
MC-1910,0.167,Non
MC-1911,0.286,Non
MC-1912,0.133,Non
MC-1913,0,Non
MC-1914,0,Non
MC-1915,0,Non
MC-1916,0.286,Non
MC-1917,0.154,Non
MC-1918,0.133,Non
MC-1919,0,Non
MC-1920,0.286,Non
MC-1921,0,Non
MC-1922,0,Non
MC-1923,0,Non
MC-1924,0,Non
MC-1925,0,Non
MC-1926,0.286,Non
MC-1927,0,Non
MC-1928,0.429,Semi
MC-1929,0,Non
MC-1930,0.286,Non
MC-1931,0.4,Semi
MC-1932,0.154,Non
MC-1933,0.286,Non
MC-1934,0.267,Non
MC-1935,0.429,Semi
MC-1936,0.154,Non
MC-1937,0.154,Non
MC-1938,0.286,Non
MC-1939,0.143,Non
MC-1940,0,Non
MC-1941,0.333,Semi
MC-1942,0.133,Non
MC-1943,0.167,Non
MC-1944,0.267,Non
MC-1945,0,Non
MC-1946,0.154,Non
MC-1947,0.167,Non
MC-1948,0,Non
MC-1949,0,Non
MC-1950,0.118,Non
MC-1951,0,Non
MC-1952,0.143,Non
MC-1953,0,Non
MC-1954,0,Non
MC-1955,0,Non
MC-1956,0.444,Semi
MC-1957,0,Non
MC-1958,0,Non
MC-1959,0,Non
MC-1960,0,Non
MC-1961,0,Non
MC-1962,0,Non
MC-1963,0,Non
MC-1964,0,Non
MC-1965,0,Non
MC-1966,0.154,Non
MC-1967,0,Non
MC-1968,0.286,Non
MC-1969,0,Non
MC-1970,0,Non
MC-1971,0,Non
MC-1972,0.167,Non
MC-1973,0,Non
MC-1974,0.143,Non
MC-1975,0,Non
MC-1976,0.267,Non
MC-1977,0,Non
MC-1978,0.133,Non
MC-1979,0.286,Non
MC-1980,0.133,Non
MC-1981,0,Non
MC-1982,0.286,Non
MC-1983,0,Non
MC-1984,0.267,Non
MC-1985,0.333,Semi
MC-1986,0,Non
MC-1987,0.267,Non
MC-1988,0,Non
MC-1989,0.167,Non
MC-1990,0,Non
MC-1991,0.429,Semi
MC-1992,0,Non
MC-1993,0.133,Non
MC-1994,0,Non
MC-1995,0.4,Semi
MC-1996,0.286,Non
MC-1997,0,Non
MC-1998,0.286,Non
MC-1999,0.133,Non
MC-2000,0.286,Non
MC-2001,0,Non
MC-2002,0,Non
MC-2003,0,Non
MC-2004,0.154,Non
MC-2005,0.286,Non
MC-2006,0,Non
MC-2007,0,Non
MC-2008,0,Non
MC-2009,0,Non
MC-2010,0,Non
MC-2011,0,Non
MC-2012,0.4,Semi
MC-2013,0.25,Non
MC-2014,0.444,Semi
MC-2015,0,Non
MC-2016,0,Non
MC-2017,0.167,Non
MC-2018,0,Non
MC-2019,0,Non
MC-2020,0,Non
MC-2021,0.167,Non
MC-2022,0.286,Non
MC-2023,0,Non
MC-2024,0,Non
MC-2025,0,Non
MC-2026,0.267,Non
MC-2027,0.267,Non
MC-2028,0.267,Non
MC-2029,0.154,Non
MC-2030,0,Non
MC-2031,0.143,Non
MC-2032,0.167,Non
MC-2033,0,Non
MC-2034,0.444,Semi
MC-2035,0.429,Semi
MC-2036,0,Non
MC-2037,0.167,Non
MC-2038,0.267,Non
MC-2039,0.267,Non
MC-2040,0,Non
MC-2041,0,Non
MC-2042,0.154,Non
MC-2043,0,Non
MC-2044,0.167,Non
MC-2045,0.286,Non
MC-2046,0.286,Non
MC-2047,0.267,Non
MC-2048,0.154,Non
MC-2049,0.267,Non
MC-2050,0.154,Non
MC-2051,0.133,Non
MC-2052,0.167,Non
MC-2053,0.154,Non
MC-2054,0.133,Non
MC-2055,0.286,Non
MC-2056,0,Non
MC-2057,0.286,Non
MC-2058,0.154,Non
MC-2059,0.286,Non
MC-2060,0,Non
MC-2061,0,Non
MC-2062,0.167,Non
MC-2063,0,Non
MC-2064,0.286,Non
MC-2065,0,Non
MC-2066,0.286,Non
MC-2067,0.286,Non
MC-2068,0.429,Semi
MC-2069,0,Non
MC-2070,0,Non
MC-2071,0.167,Non
MC-2072,0,Non
MC-2073,0,Non
MC-2074,0,Non
MC-2075,0.286,Non
MC-2076,0.133,Non
MC-2077,0,Non
MC-2078,0.167,Non
MC-2079,0,Non
MC-2080,0,Non
MC-2081,0,Non
MC-2082,0.286,Non
MC-2083,0.133,Non
MC-2084,0,Non
MC-2085,0,Non
MC-2086,0,Non
MC-2087,0.4,Semi
MC-2088,0,Non
MC-2089,0.267,Non
MC-2090,0.133,Non
MC-2091,0.154,Non
MC-2092,0.267,Non
MC-2093,0.143,Non
MC-2094,0,Non
MC-2095,0.154,Non
MC-2096,0,Non
MC-2097,0.154,Non
MC-2098,0,Non
MC-2099,0,Non
MC-2100,0,Non
MC-2101,0.429,Semi
MC-2102,0.286,Non
MC-2103,0,Non
MC-2104,0.429,Semi
MC-2105,0,Non
MC-2106,0.286,Non
MC-2107,0,Non
MC-2108,0,Non
MC-2109,0.167,Non
MC-2110,0.4,Semi
MC-2111,0.4,Semi
MC-2112,0,Non
MC-2113,0.133,Non
MC-2114,0,Non
MC-2115,0,Non
MC-2116,0.267,Non
MC-2117,0.267,Non
MC-2118,0,Non
MC-2119,0.286,Non
MC-2120,0.167,Non
MC-2121,0.133,Non
MC-2122,0.133,Non
MC-2123,0.133,Non
MC-2124,0.167,Non
MC-2125,0.286,Non
MC-2126,0,Non
MC-2127,0,Non
MC-2128,0,Non
MC-2129,0.167,Non
MC-2130,0,Non
MC-2131,0,Non
MC-2132,0,Non
MC-2133,0.154,Non
MC-2134,0.154,Non
MC-2135,0,Non
MC-2136,0,Non
MC-2137,0,Non
MC-2138,0,Non
MC-2139,0,Non
MC-2140,0.267,Non
MC-2141,0,Non
MC-2142,0,Non
MC-2143,0,Non
MC-2144,0.286,Non
MC-2145,0,Non
MC-2146,0.267,Non
MC-2147,0,Non
MC-2148,0,Non
MC-2149,0.286,Non
MC-2150,0.133,Non
MC-2151,0.286,Non
MC-2152,0,Non
MC-2153,0.167,Non
MC-2154,0.154,Non
MC-2155,0.167,Non
MC-2156,0,Non
MC-2157,0.154,Non
MC-2158,0.133,Non
MC-2159,0.267,Non
MC-2160,0,Non
MC-2161,0.429,Semi
MC-2162,0.154,Non
MC-2163,0.167,Non
MC-2164,0.267,Non
MC-2165,0.267,Non
MC-2166,0.286,Non
MC-2167,0,Non
MC-2168,0,Non
MC-2169,0.267,Non
MC-2170,0,Non
MC-2171,0.267,Non
MC-2172,0.133,Non
MC-2173,0.267,Non
MC-2174,0.133,Non
MC-2175,0,Non
MC-2176,0.286,Non
MC-2177,0,Non
MC-2178,0,Non
MC-2179,0.133,Non
MC-2180,0.286,Non
MC-2181,0,Non
MC-2182,0,Non
MC-2183,0.133,Non
MC-2184,0.25,Non
MC-2185,0,Non
MC-2186,0.267,Non
MC-2187,0.286,Non
MC-2188,0,Non
MC-2189,0.429,Semi
MC-2190,0,Non
MC-2191,0,Non
MC-2192,0.133,Non
MC-2193,0,Non
MC-2194,0.133,Non
MC-2195,0,Non
MC-2196,0.167,Non
MC-2197,0,Non
MC-2198,0,Non
MC-2199,0.286,Non
MC-2200,0.286,Non
MC-2201,0.286,Non
MC-2202,0,Non
MC-2203,0,Non
MC-2204,0.286,Non
MC-2205,0,Non
MC-2206,0,Non
MC-2207,0,Non
MC-2208,0.133,Non
MC-2209,0,Non
MC-2210,0.133,Non
MC-2211,0.154,Non
MC-2212,0.286,Non
MC-2213,0.167,Non
MC-2214,0,Non
MC-2215,0,Non
MC-2216,0,Non
MC-2217,0,Non
MC-2218,0.167,Non
MC-2219,0.267,Non
MC-2220,0.429,Semi
MC-2221,0,Non
MC-2222,0.267,Non
MC-2223,0,Non
MC-2224,0,Non
MC-2225,0.167,Non
MC-2226,0.267,Non
MC-2227,0,Non
MC-2228,0.167,Non
MC-2229,0.286,Non
MC-2230,0,Non
MC-2231,0,Non
MC-2232,0.286,Non
MC-2233,0.143,Non
MC-2234,0.4,Semi
MC-2235,0,Non
MC-2236,0.167,Non
MC-2237,0,Non
MC-2238,0.4,Semi
MC-2239,0,Non
MC-2240,0.267,Non
MC-2241,0,Non
MC-2242,0,Non
MC-2243,0,Non
MC-2244,0,Non
MC-2245,0.133,Non
MC-2246,0.167,Non
MC-2247,0,Non
MC-2248,0.167,Non
MC-2249,0,Non
MC-2250,0.167,Non
MC-2251,0,Non
MC-2252,0.267,Non
MC-2253,0.267,Non
MC-2254,0.167,Non
MC-2255,0.133,Non
MC-2256,0,Non
MC-2257,0,Non
MC-2258,0,Non
MC-2259,0,Non
MC-2260,0.267,Non
MC-2261,0.167,Non
MC-2262,0.133,Non
MC-2263,0,Non
MC-2264,0.267,Non
MC-2265,0,Non
MC-2266,0.286,Non
MC-2267,0.133,Non
MC-2268,0,Non
MC-2269,0.286,Non
MC-2270,0.167,Non
MC-2271,0.118,Non
MC-2272,0,Non
MC-2273,0,Non
MC-2274,0,Non
MC-2275,0,Non
MC-2276,0.154,Non
MC-2277,0,Non
MC-2278,0.286,Non
MC-2279,0.154,Non
MC-2280,0.267,Non
MC-2281,0.308,Semi
MC-2282,0.286,Non
MC-2283,0.118,Non
MC-2284,0.333,Semi
MC-2285,0.133,Non
MC-2286,0.154,Non
MC-2287,0.4,Semi
MC-2288,0,Non
MC-2289,0.133,Non
MC-2290,0.154,Non
MC-2291,0,Non
MC-2292,0.167,Non
MC-2293,0.444,Semi
MC-2294,0,Non
MC-2295,0.167,Non
MC-2296,0.267,Non
MC-2297,0.167,Non
MC-2298,0,Non
MC-2299,0,Non
MC-2300,0.308,Semi
MC-2301,0.167,Non
MC-2302,0,Non
MC-2303,0.154,Non
MC-2304,0.267,Non
MC-2305,0.133,Non
MC-2306,0,Non
MC-2307,0,Non
MC-2308,0.167,Non
MC-2309,0,Non
MC-2310,0.4,Semi
MC-2311,0,Non
MC-2312,0,Non
MC-2313,0.167,Non
MC-2314,0,Non
MC-2315,0,Non
MC-2316,0,Non
MC-2317,0,Non
MC-2318,0,Non
MC-2319,0,Non
MC-2320,0,Non
MC-2321,0.267,Non
