ID,Macrocycle_Free_Amide_Ratio,Peptidic_Type
MC-0088,0,Non
MC-0089,0,Non
MC-0090,0.556,Semi
MC-0091,0.444,Semi
MC-0092,0.444,Semi
MC-0093,0.444,Semi
MC-0094,0.333,Semi
MC-0095,0.333,Semi
MC-0096,0.333,Semi
MC-0097,0.222,Non
MC-0098,0.222,Non
MC-0099,0.222,Non
MC-0100,0.222,Non
MC-0101,0,Non
MC-0102,0.118,Non
MC-0103,0,Non
MC-0104,0.182,Non
MC-0105,0,Non
MC-0106,0.111,Non
MC-0107,0.211,Non
MC-0108,0,Non
MC-0109,0.211,Non
MC-0110,0,Non
MC-0111,0,Non
MC-0112,0,Non
MC-0113,0.111,Non
MC-0114,0,Non
MC-0115,0,Non
MC-0116,0,Non
MC-0117,0.375,Semi
MC-0118,0.303,Semi
MC-0119,0.303,Semi
MC-0120,0.303,Semi
MC-0121,0.303,Semi
MC-0122,0.303,Semi
MC-0123,0.364,Semi
MC-0124,0.581,Semi
MC-0125,0.316,Semi
MC-0126,0.211,Non
MC-0127,0.211,Non
MC-0128,0.211,Non
MC-0129,0.211,Non
MC-0130,0.211,Non
MC-0131,0.174,Non
MC-0132,0.111,Non
MC-0133,0,Non
MC-0134,0,Non
MC-0135,0.111,Non
MC-0136,0,Non
MC-0137,0.222,Non
MC-0138,0.222,Non
MC-0139,0.235,Non
MC-0140,0.364,Semi
MC-0141,0.333,Semi
MC-0142,0.5,Semi
MC-0143,0.267,Non
MC-0144,0.333,Semi
MC-0145,0.333,Semi
MC-0146,0.381,Semi
MC-0147,0.167,Non
MC-0148,0.167,Non
MC-0149,0.167,Non
MC-0150,0.167,Non
MC-0151,0,Non
MC-0152,0,Non
MC-0153,0,Non
MC-0154,0.308,Semi
MC-0155,0,Non
MC-0156,0.308,Semi
MC-0157,0.308,Semi
MC-0158,0.308,Semi
MC-0159,0.308,Semi
MC-0160,0.267,Non
MC-0161,0,Non
MC-0162,0,Non
MC-0163,0.308,Semi
MC-0164,0.133,Non
MC-0165,0.154,Non
MC-0166,0,Non
MC-0167,0.267,Non
MC-0168,0,Non
MC-0169,0,Non
MC-0170,0,Non
MC-0171,0.286,Non
MC-0172,0,Non
MC-0173,0,Non
MC-0174,0,Non
MC-0175,0,Non
MC-0176,0,Non
MC-0177,0,Non
MC-0178,0,Non
MC-0179,0,Non
MC-0180,0.286,Non
MC-0181,0,Non
MC-0182,0.267,Non
MC-0183,0.286,Non
MC-0184,0,Non
MC-0185,0.267,Non
MC-0186,0.308,Semi
MC-0187,0.444,Semi
MC-0188,0.154,Non
MC-0189,0.154,Non
MC-0190,0.267,Non
MC-0191,0,Non
MC-0192,0.286,Non
MC-0193,0.267,Non
MC-0194,0.286,Non
MC-0195,0.154,Non
MC-0196,0.143,Non
MC-0197,0,Non
MC-0198,0.308,Semi
MC-0199,0.154,Non
MC-0200,0,Non
MC-0201,0.286,Non
MC-0202,0,Non
MC-0203,0,Non
MC-0204,0,Non
MC-0205,0,Non
MC-0206,0.133,Non
MC-0207,0,Non
MC-0208,0,Non
MC-0209,0,Non
MC-0210,0,Non
MC-0211,0.286,Non
MC-0212,0,Non
MC-0213,0.154,Non
MC-0214,0.308,Semi
MC-0215,0,Non
MC-0216,0,Non
MC-0217,0,Non
MC-0218,0,Non
MC-0219,0.267,Non
MC-0220,0.154,Non
MC-0221,0,Non
MC-0222,0.286,Non
MC-0223,0,Non
MC-0224,0,Non
MC-0225,0,Non
MC-0226,0.429,Semi
MC-0227,0.429,Semi
MC-0228,0,Non
MC-0229,0,Non
MC-0230,0,Non
MC-0231,0.267,Non
MC-0232,0,Non
MC-0233,0.154,Non
MC-0234,0,Non
MC-0235,0,Non
MC-0236,0.154,Non
MC-0237,0.154,Non
MC-0238,0,Non
MC-0239,0.267,Non
MC-0240,0,Non
MC-0241,0,Non
MC-0242,0,Non
MC-0243,0,Non
MC-0244,0,Non
MC-0245,0,Non
MC-0246,0,Non
MC-0247,0.286,Non
MC-0248,0,Non
MC-0249,0,Non
MC-0250,0,Non
MC-0251,0,Non
MC-0252,0,Non
MC-0253,0.286,Non
MC-0254,0,Non
MC-0255,0,Non
MC-0256,0,Non
MC-0257,0,Non
MC-0258,0.429,Semi
MC-0259,0,Non
MC-0260,0,Non
MC-0261,0.286,Non
MC-0262,0,Non
MC-0263,0,Non
MC-0264,0.286,Non
MC-0265,0.286,Non
MC-0266,0.308,Semi
MC-0267,0,Non
MC-0268,0,Non
MC-0269,0.4,Semi
MC-0270,0,Non
MC-0271,0,Non
MC-0272,0.308,Semi
MC-0273,0,Non
MC-0274,0,Non
MC-0275,0.267,Non
MC-0276,0,Non
MC-0277,0,Non
MC-0278,0,Non
MC-0279,0,Non
MC-0280,0,Non
MC-0281,0.267,Non
MC-0282,0,Non
MC-0283,0,Non
MC-0284,0,Non
MC-0285,0.286,Non
