SMILES,Sample_Type
O=C(NCCCCN[C@@H](C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H]2CC3=CC=CC=C3)=O)=O)[C@H](CC(C)C)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](C)C(N[C@@H](CC(C)C)C(N[C@H]1CC2=CC=CC=C2)=O)=O)[C@H](CC3=CC=C(O)C=C3)NC1=O,Semi Peptide
O=C(NCCCCN[C@@H](C)C(N[C@@H](CC(C)C)C(N[C@H]1CC2=CC=C(O)C=C2)=O)=O)[C@H](CC3=CC=CC=C3)NC1=O,Semi Peptide
O=C(NCCCCN[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC(C)C)C(N[C@H]2CC3=CC=C(O)C=C3)=O)=O)[C@H](C)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC(C)C)C(N[C@H]2C)=O)=O)[C@H](CC3=CC=C(O)C=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=C(O)C=C2)C(N[C@H]3C)=O)=O)[C@H](CC(C)C)NC3=O,Semi Peptide
O=C(NCCCCN[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=C(O)C=C2)C(N[C@H]3CC(C)C)=O)=O)[C@H](C)NC3=O,Semi Peptide
O=C(NCCCCN[C@@H](CC1=CC=CC=C1)C(N[C@@H](C)C(N[C@H]2CC(C)C)=O)=O)[C@H](CC3=CC=C(O)C=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC1=CC=CC=C1)C(N[C@@H](C)C(N[C@H]2CC3=CC=C(O)C=C3)=O)=O)[C@H](CC(C)C)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H]2C)=O)=O)[C@@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@@H]2C)=O)=O)[C@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@H](CC1=CC=C(O)C=C1)C(N[C@H]2C)=O)=O)[C@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@H](CC(C)C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H]2C)=O)=O)[C@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@@H]2C)=O)=O)[C@@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
OC1=CC=C(C[C@H](C(N[C@H](C(N2)=O)C)=O)NC([C@@H](NCCCCNC([C@H]2CC3=CC=CC=C3)=O)CC(C)C)=O)C=C1,Semi Peptide
O=C(NCCCCN[C@H](CC(C)C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H]2C)=O)=O)[C@@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@H](CC1=CC=C(O)C=C1)C(N[C@@H]2C)=O)=O)[C@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@H](CC(C)C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@@H]2C)=O)=O)[C@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@H](CC(C)C)C(N[C@H](CC1=CC=C(O)C=C1)C(N[C@H]2C)=O)=O)[C@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
CC(C)(OC(C=C1)=CC=C1C[C@H](NC2=O)C(N[C@@H](C)C(N[C@@H](CC3=CC=CC=C3)C(NCCCCN[C@H]2CC(C)C)=O)=O)=O)C,Semi Peptide
O=C1[C@@H](N(C)C([C@@H](NC([C@H](CC2=CC=C(O)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@@H](N(C)C([C@H](CC2=CC=C(O)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@@H](NC([C@H](CC2=CC=C(O)C=C2)N(C)C([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
CN([C@H](C(N[C@H](C(N[C@H](C(N[C@H]1CC2=CC=CC=C2)=O)C)=O)CC(C=C3)=CC=C3O)=O)CC(C)C)CCCCNC1=O,Semi Peptide
CN([C@H](C(N(C)[C@H]1CC2=CC=CC=C2)=O)C)C([C@@H](NC([C@H](CC(C)C)NCCCCNC1=O)=O)CC(C=C3)=CC=C3O)=O,Semi Peptide
O=C1[C@@H](N(C)C([C@@H](NC([C@H](CC2=CC=C(O)C=C2)N(C)C([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](N(C)C([C@@H](NC([C@H](CC2=CC=C(O)C=C2)NC([C@@H](N(C)CCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
