Compound no.,SMILES
72,CC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
73,COC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
74,FC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
75,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC([N+]([O-])=O)=C(C(O)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
76,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC(C(F)(F)F)=C(C(O)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
77,CC1=C(C(O)=O)C(C)=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
78,FC1=C(C(O)=O)C(F)=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
S1,OCCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O
S2,OCCCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O
S3,O=C(OC)CCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O
S4,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CCC(N)=O)=O)=O)=O
S5,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CCC(N(C)C)=O)=O)=O)=O
S6,O=C1C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)=CC=CN1
S7,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC=CN(C)C4=O)=O)=O)=O
S8,O=S(NC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=CC=C1)(C)=O
S9,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C(C=CC=C4)=C4OS(=O)(C)=O)=O)=O)=O
S10,BrC1=CSN=C1C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O
S11,O=C(C)N(CC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O)C4=CC=CC=C4
S12,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC=CC5=C4N=CN5)=O)=O)=O
S13,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CC4=CC(C=CC=C5)=C5S4)=O)=O)=O
S14,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CCC4=CC=C5C=CC=CC5=N4)=O)=O)=O
S15,O=C1C2=CC=CC=C2C=CN1CC(N3CCC[C@H]3C(N[C@@H]4COC(C5=C(C=CC=C5)CSC[C@H](C(N(C)C)=O)NC4=O)=O)=O)=O
S16,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CC4=CC=CN=C4)=O)=O)=O
S17,CC(N1CC(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)=NC5=C(C(C6=CC=CS6)=CS5)C1=O
S18,O=C1N(C)C=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C5=C1C=CC=C5
S19,CC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=C(S(=O)(NC)=O)C=C1
S20,O=S1(N(CC(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C5=CC=CC=C5N1C6=CC=CC=C6)=O
S21,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=C(N5N=NN=C5)C=CC=C4)=O)=O)=O
S22,OC(C1=CC(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)=CC=C1)=O
S23,O=S(N(C)C1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=CC=C1)(C)=O
S24,O=C(C)NC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=CC=C1
paclitaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C  
rifabutin,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)/C  
tacrolimus,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC  
dirithromycin,CC[C@@H]1[C@@]([C@H]2[C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)OC)C)O[C@H]4[C@@H]([C@H](C[C@H](O4)C)N(C)C)O)(C)O)C)N[C@H](O2)COCCOC)C)(C)O  
ivermectin,CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C  
sirolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC  
atazanavir,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC 
everolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC  
simeprevir,CC1=C(C=CC2=C1N=C(C=C2O[C@@H]3C[C@@H]4[C@@H](C3)C(=O)N(CCCC/C=C\[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC  
vaniprevir,CC[C@@H]1C[C@@]1(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)OCC(CCCCC5=C6CN(CC6=CC=C5)C(=O)O4)(C)C)C(C)(C)C  
paritaprevir,CC1=CN=C(C=N1)C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@]3(NC(=O)[C@@H]4C[C@H](CN4C2=O)OC5=NC6=CC=CC=C6C7=CC=CC=C75)C(=O)NS(=O)(=O)C8CC8 
grazoprevir,CC(C)(C)[C@H]1C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCC[C@@H]7C[C@H]7OC(=O)N1
