ID,Standardise_SMILES,MW,HBA,HBD,cLogP,TPSA,MRS,AR,KI
MC-2324,CC(C)CC1COc2ccccc2C(=O)NC(C(=O)NCC(C)(C)c2ccc(F)cc2)CC(=O)N2CCCC2C(=O)N1,580.701,5,3,3.323,116.84,14,0.644,9.854
MC-2326,CC1NC(=O)CC(C(=O)NCCc2cnccn2)NC(=O)c2ccccc2OCC(Cc2ccccc2)N(C)C1=O,558.639,7,3,1.291,142.62,14,0.644,9.978
MC-2328,O=C1CC(C(=O)NCc2ccc(CN3CCOCC3)cc2)NC(=O)c2ccccc2OCCNC(=O)C(CO)N1,553.616,8,5,-0.691,158.33,14,0.644,10.441
MC-2331,CC(C)C1NC(=O)CC(C(=O)NCc2ccc(CN3CCCC3=O)cc2)NC(=O)c2ccccc2OCC2CCCN2C1=O,603.72,6,3,2.138,137.15,14,0.644,9.816
MC-2339,CC(C)CC1NC(=O)CC(C(=O)NCCc2ccc(F)cc2)NC(=O)c2ccccc2OCCN(C)C1=O,526.609,5,3,2.055,116.84,14,0.644,10.207
MC-2360,CC(C)C1NC(=O)CC(C(=O)N(C)CCOc2ccc(Cl)cc2)NC(=O)c2ccccc2OCC2CCCN2C1=O,585.101,6,2,2.89,117.28,14,0.644,10.094
MC-2364,CC(C)C1NC(=O)CCC(C(=O)NCC2CC2)NC(=O)c2ccccc2OCC(Cc2ccccc2)N(C)C1=O,548.684,5,3,2.694,116.84,15,0.6,9.794
MC-2369,CC1(C)CCCN(CC(=O)NCc2ccc(Oc3cccnc3)cc2)Cc2cccnc2Oc2ccccc2OC1,552.675,7,1,6.378,85.81,13,0,9.108
MC-2379,COc1cccc(CN2CCN(C(=O)C3CC(=O)NC(CC(C)C)C(=O)NCCOc4ccccc4C(=O)N3)CC2)c1,579.698,7,3,1.568,129.31,14,0.644,10.772
MC-2383,CC(C)CC1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CCCn2cncn2)CC(=O)N1,519.046,7,2,2.674,118.45,15,0.401,10.535
MC-2395,CC(C)C1NC(=O)CC(C(=O)NCCCN2CCCC2=O)NC(=O)c2ccccc2OCC2CCCN2C1=O,541.649,6,3,0.828,137.15,14,0.644,9.421
MC-2402,CC(O)C1NC(=O)CC(C(=O)NCCCc2ccccc2)NC(=O)c2ccccc2OCCCNC1=O,510.591,6,5,0.688,145.86,15,0.6,10.453
MC-2420,CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3cccc(COC)c3)CCO2)C1=O,508.659,5,0,4.478,68.31,12,0.251,9.582
MC-2431,COc1cccc(C2C(C(C)C)CN(C(C)=O)CC(OC)C(O)C(O)COCCCCN2C(=O)CN2CCc3ccccc32)c1,625.807,8,2,3.296,112.01,15,0,12.643
MC-2461,CC(C)C1NC(=O)CC(C(=O)NCc2cccc(CN3CCOCC3)c2)NC(=O)c2ccccc2OCC2CCCN2C1=O,605.736,7,3,1.848,129.31,14,0.644,10.496
MC-2488,Cc1cc(N(C)C)nc(C2CCN(C(=O)CCc3ccc4c(c3)CN(C(C)C)CC(=O)NCCCCCO4)C2)n1,550.748,7,1,3.689,90.9,13,0.231,10.365
MC-2512,CCOc1ccc(CNC(=O)CN2CCCC(C)(C)COc3ccccc3Oc3ncccc3C2)cc1,503.643,6,1,5.59,72.92,13,0,9.011
MC-2514,CC(C)C1NC(=O)CCC(C(=O)NCc2cccc(CN3CCOCC3)c2)NC(=O)c2ccccc2OCCN(C)C1=O,593.725,7,3,1.705,129.31,15,0.6,11.517
MC-2523,O=C1CN(Cc2ccccc2)Cc2cc(CCC(=O)NC3CC3)ccc2OCCCCCN1,449.595,4,2,3.579,70.67,13,0.231,8.363
MC-2524,Cc1ccccc1OCCN(C)C(=O)C1CC(=O)NC(C(C)C)C(=O)N2CCCC2COc2ccccc2C(=O)N1,564.683,6,2,2.545,117.28,14,0.644,9.857
MC-2529,COc1cccc(C2C(C(C)C)CN(C(C)=O)CC(OC)C(O)C(O)COCCCCN2C(=O)c2ccccc2OC)c1,600.753,8,2,3.555,118,15,0,13.253
MC-2541,CC(C)C1COc2ccccc2C(=O)NCCCOc2ccccc2C(=O)NC(C(=O)NCc2ccc(CN3CCOCC3)cc2)CCC(=O)N1,699.849,8,4,3.446,147.33,20,0.45,13.818
MC-2543,O=C1CC(C(=O)NCCOc2ccc(Cl)cc2)NC(=O)c2ccccc2OCCNC(=O)C(CO)N1,518.954,7,5,0.009,155.09,14,0.644,9.897
MC-2544,CN1C(=O)C2(CC2)NC(=O)CCC(C(=O)NCC2(c3cccc(F)c3)CCOCC2)NC(=O)c2ccccc2OCC1Cc1ccccc1,670.782,6,3,3.68,126.07,15,0.6,10.285
MC-2563,Cc1nn(C)c(C)c1CCNC(=O)C1CC(=O)NC(CC(N)=O)C(=O)N(C)CCOc2ccccc2C(=O)N1,541.609,8,4,-0.905,177.75,14,0.644,9.633
MC-2568,Cc1csc(CCCNC(=O)C2CC(=O)NC(CO)C(=O)N3CCCC3COc3ccccc3C(=O)N2)n1,543.646,8,4,0.55,149.96,14,0.644,9.293
MC-2569,CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)Cc3ccccc3OC)CCO2)C1=O,508.659,5,0,4.269,68.31,12,0.251,9.446
MC-2572,COC1CN(C(=O)c2ccccc2F)CC(CC(C)C)N(C(=O)/C=C/c2cccc(F)c2)CCCCOCC(O)C1O,588.692,6,2,3.911,99.54,14,0,13.056
MC-2576,COc1ccc(CNC(=O)CN2CCCC(C)(C)COc3ccccc3Oc3ncccc3C2)cc1OC,519.642,7,1,5.208,82.15,13,0,9.072
MC-2586,CC1(C)NC(=O)CC(C(=O)NCCc2cnccn2)NC(=O)c2ccccc2OCC(Cc2ccccc2)NC1=O,558.639,7,4,1.339,151.41,14,0.644,9.62
MC-2602,CC(C)CC1NC(=O)CC(C(=O)NCC(C)(C)c2ccc(F)cc2)NC(=O)c2ccccc2OCCN(C)C1=O,554.663,5,3,2.79,116.84,14,0.644,10.255
MC-2610,CC1(C)CCCN(CC(=O)NCCS(=O)(=O)N2CCCC2)Cc2cccnc2Oc2ccccc2OC1,530.691,7,1,3.417,101.07,13,0,9.044
MC-2627,CC(C)N1CC(=O)NCCCCCOc2ccc(CCC(=O)N3CCC(c4ccnc(N(C)C)n4)C3)cc2C1,536.721,7,1,3.381,90.9,13,0.231,10.143
MC-2629,CC(C)c1nnc(NC(=O)CN2CCC3NC(=O)C(Cc4ccccc4)NC(=O)C4(C/C=C/CC3C2)CCOCC4)s1,594.782,8,3,3.281,125.55,12,0.5,10.018
MC-2633,COc1cccc(CCNC(=O)CN2CCCC(C)(C)COc3ccccc3Oc3ncccc3C2)c1,503.643,6,1,5.242,72.92,13,0,9.011
MC-2651,COc1ccc(CCC(=O)N2CCC3(CCCCc4ccccc4OCC(=O)N(C)C3)CC2)c(OC)c1OC,538.685,6,0,4.518,77.54,12,0.251,9.594
MC-2662,CC(C)CC1NC(=O)CC(C(=O)NCCc2ccccn2)NC(=O)c2ccccc2OCCN(C)C1=O,509.607,6,3,1.311,129.73,14,0.644,9.996
MC-2689,CC(O)C1NC(=O)CC(C(=O)NCCOc2ccc(F)cc2)NC(=O)c2ccccc2OCCCNC1=O,530.553,7,5,0.274,155.09,15,0.6,10.408
MC-2696,CC(C)CC1COc2ccccc2C(=O)NC(C(=O)NCC2(c3cccc(F)c3)CCOCC2)CC(=O)N2CCCC2C(=O)N1,622.738,6,3,3.093,126.07,14,0.644,10.374
MC-2709,COCC12CCCCN(C(=O)CNS(=O)(=O)c3ccc(C)cc3)CCOc3ccccc3C(=O)N(CC1)CC2,557.713,6,1,3.234,105.25,15,0.2,9.633
MC-2713,O=C(CN1CCOC2(C/C=C/Cc3ccccc3OCCNC2=O)C1)NCCOc1ccccc1,479.577,6,2,1.95,89.13,12,0.251,8.752
MC-2719,CCOc1ccc(CNC(=O)CN2CCCCCCOc3ccccc3Oc3ncccc3C2)cc1,489.616,6,1,5.344,72.92,14,0,9.562
MC-2731,COC1CN(C(=O)c2ccccc2F)CC(CC(C)C)N(C(=O)/C=C/c2ccc3c(c2)OCO3)CCCCOCC(O)C1O,614.711,8,2,3.501,118,14,0,12.131
MC-2755,CC(C)C1NC(=O)CC(C(=O)NCCCN2CCOCC2)NC(=O)c2ccccc2OCCN(C)C1=O,517.627,7,3,0.005,129.31,14,0.644,10.699
MC-2758,COCC12CCCCN(C(=O)CCc3ccccc3OC)CCOc3ccccc3C(=O)N(CC1)CC2,508.659,5,0,4.588,68.31,15,0.2,9.446
MC-2778,Cc1csc(CCCNC(=O)C2CC(=O)NC(CO)C(=O)NCCOc3ccccc3C(=O)N2)n1,503.581,8,5,-0.325,158.75,14,0.644,9.556
MC-2784,O=C(Cc1ccc2c(c1)CN(Cc1ccccc1)CC(=O)NCCCCCO2)NCC1CC1,449.595,4,2,3.436,70.67,13,0.231,8.363
MC-2801,O=C1NC2CCN(C(=O)CCCn3c(C(F)(F)F)nc4ccccc43)CC2C/C=C/CC2(CCOCC2)C(=O)NC1Cc1ccccc1,665.757,6,2,5.043,105.56,12,0.5,10.189
MC-2805,O=C(CN1CCCCCCOc2ccccc2Oc2ncccc2C1)N(CCO)Cc1ccccc1,489.616,6,1,4.65,75.13,14,0,9.704
MC-2816,CC(C)CC1NC(=O)CC(C(=O)NCCc2ccccc2)NC(=O)c2ccccc2OCCNC1=O,494.592,5,4,1.574,125.63,14,0.644,9.852
MC-2819,COC1CN(C(=O)c2ccccc2F)CC(CC(C)C)N(C(=O)/C=C/c2ccc(F)cc2Cl)CCCCOCC(O)C1O,623.137,6,2,4.564,99.54,14,0,13.535
MC-2822,O=C(CN1CCCCCCOc2ccccc2Oc2ncccc2C1)NCCS(=O)(=O)N1CCCC1,516.664,7,1,3.171,101.07,14,0,9.544
MC-2825,O=C1CC(C(=O)NCc2ccc(CN3CCCC3=O)cc2)NC(=O)c2ccccc2OCCNC(=O)C(CO)N1,551.6,7,5,-0.4,166.17,14,0.644,9.681
MC-2865,CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CN3CCC(C(N)=O)CC3)CCO2)C1=O,528.694,6,1,2.215,105.41,12,0.251,10.018
MC-2879,CC(O)C1NC(=O)CC(C(=O)NCCCn2ccc(C(F)(F)F)n2)NC(=O)c2ccccc2OCCN(C)C1=O,568.553,8,4,0.313,154.89,14,0.644,10.093
MC-2922,CCC(C)C1NC(=O)CC(C(=O)NC2CCC(O)CC2)NC(=O)c2ccccc2OCC(CC(C)C)NC1=O,544.693,6,5,2.049,145.86,14,0.644,11.15
MC-2930,Cc1nn(C)c(C)c1CCNC(=O)C1CC(=O)NC(Cc2ccccc2)C(=O)N2CCCC2COc2ccccc2C(=O)N1,600.72,7,3,1.995,134.66,14,0.644,9.617
MC-2932,CC1COc2ccccc2C(=O)NC(C(=O)NCCc2ccccc2)CC(=O)NC(CC(N)=O)C(=O)N1,509.563,6,5,-0.209,168.72,14,0.644,9.589
MC-2952,O=C(CN1CCCCCCOc2ccccc2Oc2ncccc2C1)NC(CO)Cc1ccccc1,489.616,6,2,4.349,83.92,14,0,9.704
MC-2964,Cc1cc(N(C)C)nc(C2CCN(C(=O)CCc3ccc4c(c3)CN(C(C)C)CC(=O)NCCCCCO4)CC2)n1,564.775,7,1,4.079,90.9,13,0.231,10.965
MC-2972,COc1ccc(NC(=O)CN2CCC3NC(=O)C(Cc4ccccc4)NC(=O)C4(C/C=C/CC3C2)CCOCC4)cc1Cl,609.167,6,3,3.968,109,12,0.5,10.381
MC-2982,CC1NC(=O)CC(C(=O)NCCN2CCCC2=O)NC(=O)c2ccccc2OCC(Cc2ccccc2)N(C)C1=O,563.655,6,3,0.881,137.15,14,0.644,9.938
MC-2991,COC1CN(C(=O)c2ccccc2F)CC(CC(C)C)N(C(=O)/C=C/c2ccccc2F)CCCCOCC(O)C1O,588.692,6,2,3.911,99.54,14,0,13.056
MC-3005,CC1(C)CCCN(CC(=O)NCCOc2ccccc2)Cc2cccnc2Oc2ccccc2OC1,489.616,6,1,5.07,72.92,13,0,8.788
MC-3015,CC(C)C1COc2ccccc2C(=O)NC(C(=O)NCCN2CCOCC2)CCC(=O)NC(C(C)C)C(=O)N1,545.681,7,4,0.688,138.1,15,0.6,11.547
MC-3016,COCCCNC(=O)C1CC(=O)NC(C(C)O)C(=O)N(C)CCOc2ccccc2C(=O)N1,464.519,7,4,-0.956,146.3,14,0.644,10.078
MC-3023,CN1CCN(CC(=O)NC(CO)Cc2ccccc2)CCOc2ccccc2Oc2ncccc2C1=O,504.587,7,2,2.36,104.23,13,0.231,9.068
MC-3047,Cc1nc(-c2cccc(NC(=O)CN3CCC4NC(=O)C(Cc5ccccc5)NC(=O)C5(C/C=C/CC4C3)CCOCC5)c2)cs1,641.838,7,3,4.738,112.66,12,0.5,10.26
MC-3071,O=C1CC(C(=O)NCCc2ccccn2)NC(=O)c2ccccc2OCC2CCCN2C(=O)C(Cc2ccccc2)N1,569.662,6,3,2.04,129.73,14,0.644,9.428
MC-3090,CC1NC(=O)CC(C(=O)NCCN2CCOCC2)NC(=O)c2ccccc2OCC(Cc2ccccc2)N(C)C1=O,565.671,7,3,0.59,129.31,14,0.644,10.691
MC-3091,CCOc1cccc2c1OCCCCCNC(=O)CN(C(=O)CCCn1ccnc1)C2,428.533,6,1,2.77,85.69,13,0.231,8.752
MC-3094,CC1NC(=O)C2(CCCC2)NC(=O)CCC(C(=O)N(C)Cc2ccccc2N2CCOCC2)NC(=O)c2ccccc2OCC(Cc2ccccc2)N(C)C1=O,766.94,8,3,3.456,149.62,18,0.666,13.271
